,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
10,HYDRAULIC,SICKLE,KNIFE,DRIVE,ON,A,COMBINE,HEADER,A,knife,drive,vehicle,pump,motor,motor,drive,manifold,plurality,connections,devices,knife,drive,and/or,devices,knife,drive,Operation,pump,direction,motor,knife,gearbox,crop,direction,motor,fluid,circuit,pump,direction,vehicle,fluid,flow,fluid,circuit,crop,sickle,knives,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Attachment,Comprising,Picking,Rotors,attachment,connection,harvester,plurality,devices,manner,width,device,gap,rotors,directions,picking,rotors,flutes,direction,rotor,casing,enveloping,circles,mesh,way,picking,rotors,conditions,invention,bars,picking,rotor,and/or,flutes,space,flutes,picking,rotor,bars,portions,space,movement,picking,rotors,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GRAIN-HARVESTING,FARMING,EQUIPMENT,application,patent,invention,refers,equipment,harvesting,cleaning,produce,farming,produce,peanuts,beans,produce,rows,ground,invention,head,platform,belts,head,transmission,box,type,head,system,oil,tank,heat,exchanger,filters,transmission,box,further,input,accessory,order,systems,part,equipment,helicoids,transporter,container,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DRAPER,BELT,WITH,A,RUBBER,INSERT,INSIDE,THE,CLEATS,TO,INCREASE,BELT,DURABILITY,AND,REDUCE,FIBERGLASS,ROD,A,draper,belt,carry,layer,pulley,cover,layer,reinforcing,layer,carry,layer,pulley,cover,layer,draper,belt,edge,edge,carry,layer,plurality,cleats,edge,edge,draper,belt,cleats,rods,rubbery,polymer,phr,fibers,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ROLLER,SHELL,A,CONDITIONING,ROLLER,A,roller,shell,conditioning,roller,number,teeth,periphery,thereof,direction,teeth,flank,trailing,flank,outer,surface,region,angulation,angulation,recess,step,outer,surface,region,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LOUVER,POSITION,SENSING,SYSTEM,FOR,A,SIEVE,AND,CHAFFER,A,COMBINE,HARVESTER,A,louver,position,system,sieve,chaffer,combine,harvester,system,sensor,contact,louvers,sieve,chaffer,system,magnet,holders,louvers,sensors,magnets,magnet,holders,position,louvers,system,accurate,adjustment,louvers,order,efficiency,operation,sieve,chaffer,systems,position,louvers,CAN,bus,combine,harvester,result,position,information,openings,louvers,sieve,chaffer,grain,cleaning,machine,field,variables,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,HORTICULTURAL,SMUDGING,SYSTEM,AND,METHOD,A,smudging,system,method,growth,production,plants,material,container,gas,ions,carbon,dioxide,plants,smudging,system,method,sensors,oxygen,air,pressure,gas,levels,container,air,intake,release,flue,gas,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LED-BASED,LIGHTING,METHODS,AND,APPARATUS,FOR,CONTROLLED,ENVIRONMENT,AGRICULTURE,A,lighting,fixture,Controlled,Environment,Agriculture,CEA,energy,efficiency,recycle,waste,heat,operation,sensors,environment,example,fixture,frame,houses,components,fixture,spine,lighting,fixture,support,structure,pipes,copper,fixture,frame,fluid,coolant,fixture,heat,fixture,modules,power,communication,ports,interconnection,fixture,variety,environments,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,DARK,CAVITY,LIGHTING,SYSTEM,A,lighting,system,illumination,device,semiconductor,emission,solution,device,plant,cultivation,greenhouse,environment,device,alloy,quantum,dots,methods,size,distribution,dots,emission,spectrum,radiation,PAR,spectrum,methods,arrangements,tuning,emission,spectrum,lights,plant,cultivation,improvements,control,plant,growth,improvements,plant,production,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,STACKING,VERTICAL,GARDEN,SYSTEM,AND,METHOD,OF,USE,A,garden,system,base,water,rotation,system,base,motor,gear,gear,bearing,system,race,gear,outer,race,motor,movement,race,base,race,base,brace,base,water,source,plant,holder,base,plant,holder,plant,receivers,water,chamber,base,plant,holder,water,top,garden,system,power,source,connects,motor,rotation,base,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,STRUCTURE,FOR,GROWING,AND,MOVING,AGRICULTURAL,PRODUCTS,FARMS,invention,structure,products,farms,frame,house,plurality,trays,products,movement,means,frame,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SYSTEMS,AND,METHODS,FOR,GERMINATING,SEEDS,FOR,AN,ASSEMBLY,LINE,GROW,POD,A,system,assembly,line,grow,pod,germination,hub,tank,water,source,fluid,communication,tank,pump,fluid,communication,tank,water,source,pod,line,fluid,communication,germination,hub,seeder,assembly,fluid,communication,pod,line,seeder,assembly,seeder,tank,metering,device,fluid,communication,seeder,tank,metering,device,seeds,seeder,tank,cart,metering,device,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,SYSTEMS,AND,METHODS,FOR,MANAGING,THE,MOVEMENT,OF,SEEDS,IN,A,GERMINATION,SYSTEM,A,method,seeds,tank,batch,seeds,tank,water,water,source,tank,batch,seeds,tank,water,water,source,germination,batch,seeds,batch,seeds,tank,pod,line,communication,assembly,line,grow,pod,time,batch,seeds,tank,level,seeds,tank,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SYSTEMS,AND,METHODS,FOR,MOVING,WETTED,SEED,A,GROW,POD,SYSTEM,A,method,seeds,assembly,line,pods,seeds,pipe,communication,pump,water,water,source,pipe,communication,pump,seeds,tank,water,water,source,pipe,combination,seeds,tank,water,water,source,pod,line,communication,pump,seeds,pod,line,carts,assembly,line,grow,pod,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AGRICULTURAL,APPARATUS,AND,METHOD,A,pole,plant,containers,heights,containers,height,H1-H9,array,pole,container,region,pole,view,pole,conveyor,system,pole,fluid,reservoir,fluid,distribution,system,fluid,reservoir,plant,containers,locations,pole,plant,container,soil,containment,portion,drain,portion,soil,bypass,drain,portion,containers,pole,soil,containers,soils,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,METHODS,APPARATUS,AND,SYSTEMS,FOR,LIGHTING,AND,DISTRIBUTED,SENSING,IN,CONTROLLED,AGRICULTURAL,ENVIRONMENTS,A,grid,growth,conditions,plants,environment,example,sensor,grid,sensors,grid,axis,axis,sensors,cable,and/or,port,power,and/or,network,communications,access,implementations,plurality,fixtures,environment,power,network,communications,access,sensors,use,connectivity,installation,sensors,vicinity,fixtures,growth,conditions,portion,environment,sensors,sensor,assembly,installation,deployment,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,METHOD,AND,SYSTEM,FOR,THE,AIR,CONDITIONING,OF,CLOSED,ENVIRONMENTS,IN,PARTICULAR,FOR,VERTICAL,FARMS,invention,method,air,conditioning,environments,farms,steps,air,means,air,treatment,unit,air,environment,plurality,channels,air,treatment,unit,flow,air,exiting,plurality,openings,wall,plurality,openings,wall,environment,delivery,direction,air,direction,respect,floor,environment,inside,environment,direction,direction,walls,invention,system,method,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kit,Method,Grass-Like,Edging,A,kit,border,ground,area,outdoor,structures,turf,strips,width,range,pieces,instructions,use,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Apparatus,Systems,Methods,Dispensing,Sheet,Film,Material,Methods,systems,apparatuses,sheet,film,material,ground,disk,openers,grooves,ground,sheet,grooves,use,pair,press,wheels,disk,openers,sheet,grooves,Use,disk,openers,method,sheet,seeds,and/or,soil,conditions,crop,yields,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DEVICE,AND,METHOD,FOR,BREEDING,BLUEBERRY-SPECIFIC,MYCORRHIZAL,FUNGI,A,device,method,mycorrhizal,fungi,device,container,bottom,container,perlite,layer,cotton,layer,hole,planting,cotton,blueberry,tissue,culture,seedlings,moss,seedlings,hole,spore,transfer,solution,blueberry,tissue,culture,seedlings,moss,seedlings,fertilizer,inoculation,field,pieces,cotton,blueberry,roots,research,pieces,cotton,water,paper,spores,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BACKPACK,BLOWER,backpack,blower,support,assembly,plate,user,blower,user,back,volute,assembly,volute,portion,volute,portion,backpack,blower,housing,assembly,battery,assembly,motor,assembly,therein,housing,assembly,back,assembly,volute,assembly,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AGRICULTURE,SYSTEM,A,system,method,agriculture,growth,chamber,laser,light,example,embodiment,agriculture,system,growth,chamber,walls,portion,growth,chamber,agriculture,system,tray,portion,growth,chamber,agriculture,system,source,growth,chamber,walls,aperture,source,part,portion,growth,chamber,embodiments,light,source,growth,chamber,source,laser,light,portion,growth,chamber,aperture,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MOISTURE,CONTENT,OBSERVATION,DEVICE,MOISTURE,CONTENT,OBSERVATION,METHOD,AND,CULTIVATION,DEVICE,First,beam,source,reference,beam,nm,water,leaf,plant,beam,source,beam,nm,tends,water,leaf,plant,Threshold,level,setter/water,content,index,detector,water,index,leaf,sum,Σ,Ln,I905/I1550,reflection,intensity,ratio,Controller,graph,sum,water,content,leaf,value,time-transition,water,content,plant,start,period,UI,screen,monitor,beam,sources,reference,substrate,surface,leaf,leaf,plant,ystem,operation,implement,system,comprising,implement,operation,field,implement,field,controller,data,indicative,plurality,field,characteristics,field,soil,moisture,value,soil,field,depth,field,surface,field,data,soil,moisture,value,soil,field,depth,field,surface,depth,depth,data,adjustment,operating,parameter,implement,soil,moisture,content,value,soil,moisture,content,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
